Feature,Importance,Label
v62003__7,6.014959199609026e-05,Category of investment:Fishing equipment
v91001__7,5.371319530416875e-05,Which ones of the following assets does your HH own?:Water t
v42003a__20,5.1016669787330126e-05,Variety:Bamboo
v91009a__98,4.895878425849343e-05,The 3 most important reasons for why poor people have low in
v43102__33,4.6901711486253035e-05,Animal species/production activity:Bee
v71412__9,4.603981739692879e-05,What kinds of savings do you possess:Community/ village savi
v32030__98,4.504987095637874e-05,How did you adjust your agricultural activities?:No answer
v32031__3,4.481677611573787e-05,In which way have these changes affected your non agricultur
v91001__23,4.4234322691770125e-05,Which ones of the following assets does your HH own?:Pick-up
v42003a__917,4.076019168055388e-05,Variety:Asiatic pennywort
v42003a__935,4.028168258201696e-05,Variety:Chinese cabbage
v32030__15,3.965704365262645e-05,How did you adjust your agricultural activities?:Plant trees
v43102__91,3.7856348457345916e-05,Animal species/production activity:Local carp
v62016a__4,3.6984451373512464e-05,Category of disinvestment:Business equipment
v32026__90,3.5684539547904245e-05,"What is the major change with the temperature?:Other, specif"
v31102__80,3.279395678647489e-05,Type of event:COVID-19
v32028__8,3.2777891719483045e-05,In which way do these changes affect your agricultural activ
v62016a__6,3.2643189283368235e-05,Category of disinvestment:Farm equipment
v31102__8,2.9855489718812456e-05,Type of event:Conflict with neighbours in the village
v43102__27,2.92903250809906e-05,Animal species/production activity:Dove
v32027__90,2.9193639406902276e-05,"What is the major change with regards to the storms?:Other, "
v42003a__954,2.879455009941215e-05,Variety:Celery
v32030__6,2.7373200669540277e-05,How did you adjust your agricultural activities?:Invest less
v31102__82,2.3980602674637593e-05,Type of event:Turbulences in own business
v32028__98,2.3766983516554584e-05,In which way do these changes affect your agricultural activ
v44002__2,2.2427613012345692e-05,"Is your household involved in fishing, hunting, collecting o"
v42003a__937,2.073520011713419e-05,Variety:Thai parsley
v32030__9,2.0382972828601413e-05,How did you adjust your agricultural activities?:Build terra
v91001__16,2.0348231150890304e-05,Which ones of the following assets does your HH own?:Floatin
v42003a__1327,1.7838174102791006e-05,Variety:Passion fruit
v42003a__171,1.662941229412949e-05,Variety:Marigold
v92031__90,1.5932656902276972e-05,Did you use the internet for crop or livestock production in
v42003a__1318,1.5253656811983114e-05,Variety:Sapodilla
v32031__5,1.4938573597678637e-05,In which way have these changes affected your non agricultur
v32031__98,1.4614270351364006e-05,In which way have these changes affected your non agricultur
v32031__7,1.2841553099257756e-05,In which way have these changes affected your non agricultur
v32031__13,1.2432711863713515e-05,In which way have these changes affected your non agricultur
v42003a__919,1.2130320284308553e-05,Variety:Cauliflower
v32027__98,1.1534922322871359e-05,What is the major change with regards to the storms?:No answ
v43201__24,1.0369289683992296e-05,Did you produce any of the following livestock products?:Hon
v42003a__1313,1.0056698501419152e-05,Variety:Jujube
v24002a__4,9.169749568872137e-06,"The household sent or received money, gift, or in kinds:Init"
v42003a__930,8.884856301960896e-06,Variety:Betel nuts
v62016a__3,8.706303897096763e-06,Category of disinvestment:Business land and buildings
v42003a__951,8.49445336360055e-06,Variety:Kitchen mint/peppermint
v42003a__1322,7.912437557257955e-06,Variety:Cantaloup
v42003a__33,7.244868676502508e-06,Variety:Tobacco
v42003a__955,7.140836592028703e-06,Variety:Broccoli
v42003a__1306,6.737425533677025e-06,Variety:Rose apple
v42003a__1314,6.526437926324079e-06,Variety:Tamarind
v42003a__4,6.45739011160779e-06,Variety:Soybeans
v42003a__906,5.672552343081005e-06,Variety:Mushroom
v43102__94,5.28167600923642e-06,Animal species/production activity:Dog
v42003a__172,4.669856659585424e-06,Variety:Plumeria
v42003a__916,4.382611682119008e-06,Variety:Lemon basil
v42003a__952,4.269868105205134e-06,Variety:Bamboo shoot
v42003a__8,3.966559957861186e-06,Variety:Kenaf
v42003a__904,3.871733108949766e-06,Variety:Galgant
v62016a__90,3.380055510396422e-06,Category of disinvestment:Others
v31102__18,2.656605990131387e-06,Type of event:Collapse of business
v42003a__903,2.583358110871529e-06,Variety:Garlic
v42003a__940,2.3783894031177297e-06,Variety:Cowslip creeper
v43102__19,2.2108418910840046e-06,Animal species/production activity:Wild pig
v71411__12,1.6880217552969854e-06,For what you expect to use savings in future (three most imp
v32026__98,1.3381577589787549e-06,What is the major change with the temperature?:No answer
v32031__12,5.9631038010819966e-21,In which way have these changes affected your non agricultur
v42003a__933,0.0,Variety:Cratoxylum formosum (local vegetable)
v42003a__939,0.0,Variety:Dill
v42003a__926,0.0,Variety:Cassod tree
v42003a__929,0.0,Variety:Siam tulip
v42003a__953,0.0,Variety:Water mimosa
v62016a__7,0.0,Category of disinvestment:Fishing equipment
v71412__6,0.0,What kinds of savings do you possess:Other financial assets 
v31102__85,0.0,Type of event:Flooding of business property
v31102__83,0.0,Type of event:Financial constraints/no access to credits for
v31102__62,0.0,Type of event:Job loss
